url,name,subcategory,numberOfReviews,Price,favorites,listedOn,seller_name,seller_url,seller_rating,seller_numberOfReviews,images,variations,highlights,relatedSearches
https://www.etsy.com/listing/1000001/handmade-wooden-bluetooth-earpods,Handmade Wooden Bluetooth Earpods,Earpods,214,$79.00,1320,"Jan 12, 2024",WoodSoundStudio,https://www.etsy.com/shop/WoodSoundStudio,4.6,5400,https://i.etsystatic.com/earpods1.jpg,"[{""label"": ""Wood Type"", ""values"": [""Walnut"", ""Oak"", ""Maple""]}]","Handmade,Eco-friendly,Bluetooth 5.0","[{""name"": ""Wooden Earpods"", ""link"": ""https://www.etsy.com/market/wooden_earbuds""}]"
https://www.etsy.com/listing/1000002/custom-wireless-earbuds-case,Custom Wireless Earbuds Case with Leather Finish,Earpods,189,$39.00+,980,"Nov 03, 2023",LeatherTechCraft,https://www.etsy.com/shop/LeatherTechCraft,4.8,8900,https://i.etsystatic.com/earpods2.jpg,"[{""label"": ""Color"", ""values"": [""Black"", ""Brown"", ""Tan""]}]","Handmade,Leather,Gift Ready","[{""name"": ""Earbuds Case"", ""link"": ""https://www.etsy.com/market/earbuds_case""}]"
https://www.etsy.com/listing/1000003/noise-cancelling-headphones-handcrafted,Handcrafted Noise Cancelling Over-Ear Headphones,Headphones,321,$129.00,1760,"Sep 18, 2023",AnalogWave,https://www.etsy.com/shop/AnalogWave,4.4,4300,https://i.etsystatic.com/headphones1.jpg,"[{""label"": ""Type"", ""values"": [""Over-Ear""]}]","Noise Cancelling,Handcrafted,Studio Quality","[{""name"": ""Noise Cancelling Headphones"", ""link"": ""https://www.etsy.com/market/noise_cancelling_headphones""}]"
https://www.etsy.com/listing/1000004/minimalist-wireless-earbuds,Minimalist Wireless Earbuds,Earpods,95,$49.99,450,"Feb 02, 2024",MinimalTech,https://www.etsy.com/shop/MinimalTech,4.3,2100,https://i.etsystatic.com/earpods3.jpg,"[{""label"": ""Finish"", ""values"": [""Matte Black"", ""White""]}]","Wireless,Minimal Design","[{""name"": ""Minimal Earbuds"", ""link"": ""https://www.etsy.com/market/minimal_earbuds""}]"
https://www.etsy.com/listing/1000005/retro-studio-headphones,Retro Studio Wired Headphones,Headphones,410,$149.00,2100,"Aug 21, 2023",RetroSoundLab,https://www.etsy.com/shop/RetroSoundLab,4.7,6700,https://i.etsystatic.com/headphones2.jpg,"[{""label"": ""Cable"", ""values"": [""Coiled"", ""Straight""]}]","Retro,Studio Quality,Wired","[{""name"": ""Retro Headphones"", ""link"": ""https://www.etsy.com/market/retro_headphones""}]"
https://www.etsy.com/listing/1000006/sports-wireless-earpods,Wireless Sports Earpods,Earpods,204,$59.00,1100,"Sep 30, 2023",FitSound,https://www.etsy.com/shop/FitSound,4.2,3600,https://i.etsystatic.com/earpods4.jpg,"[{""label"": ""Color"", ""values"": [""Black"", ""Blue""]}]","Sweatproof,Wireless,Sports","[{""name"": ""Sports Earbuds"", ""link"": ""https://www.etsy.com/market/sports_earbuds""}]"
https://www.etsy.com/listing/1000007/premium-wooden-headphones,Premium Wooden Over-Ear Headphones,Headphones,167,$189.00,1340,"Jul 15, 2023",OakTone,https://www.etsy.com/shop/OakTone,4.7,2500,https://i.etsystatic.com/headphones3.jpg,"[{""label"": ""Wood Finish"", ""values"": [""Oak"", ""Walnut""]}]","Wooden,Premium Build","[{""name"": ""Wooden Headphones"", ""link"": ""https://www.etsy.com/market/wooden_headphones""}]"
https://www.etsy.com/listing/1000008/custom-name-earbuds-case,Custom Name Leather Earbuds Case,Earpods,292,$35.00,990,"Jan 28, 2024",NameCraft,https://www.etsy.com/shop/NameCraft,4.9,4100,https://i.etsystatic.com/earpods5.jpg,"[{""label"": ""Font Style"", ""values"": [""Classic"", ""Modern""]}]","Custom Name,Leather","[{""name"": ""Personalized Earbuds"", ""link"": ""https://www.etsy.com/market/personalized_earbuds""}]"
https://www.etsy.com/listing/1000009/studio-monitoring-headphones,Studio Monitoring Headphones,Headphones,355,$139.00,1750,"Jun 09, 2023",SoundBench,https://www.etsy.com/shop/SoundBench,4.5,6200,https://i.etsystatic.com/headphones4.jpg,"[{""label"": ""Impedance"", ""values"": [""32\u03a9"", ""80\u03a9""]}]","Studio,Monitoring,Wired","[{""name"": ""Studio Headphones"", ""link"": ""https://www.etsy.com/market/studio_headphones""}]"
https://www.etsy.com/listing/1000010/audiophile-handmade-headphones,Audiophile Grade Handmade Over-Ear Headphones,Headphones,412,$199.00,2450,"Jun 01, 2023",PureWaveAudio,https://www.etsy.com/shop/PureWaveAudio,4.8,7200,https://i.etsystatic.com/headphones5.jpg,"[{""label"": ""Impedance"", ""values"": [""32\u03a9"", ""80\u03a9"", ""250\u03a9""]}]","Audiophile,Handcrafted,Premium Build","[{""name"": ""Audiophile Headphones"", ""link"": ""https://www.etsy.com/market/audiophile_headphones""}]"
https://www.etsy.com/listing/1000011/compact-wireless-earpods,Compact Wireless Earpods,Earpods,123,$45.00,560,"Mar 14, 2024",MicroSound,https://www.etsy.com/shop/MicroSound,4.4,1500,https://i.etsystatic.com/earpods6.jpg,"[{""label"": ""Color"", ""values"": [""Red"", ""White""]}]","Portable,Wireless","[{""name"": ""Compact Earbuds"", ""link"": ""https://www.etsy.com/market/compact_earbuds""}]"
https://www.etsy.com/listing/1000012/pro-gaming-headphones,Pro Gaming Headphones with Mic,Headphones,298,$159.00,1890,"Apr 22, 2023",GameAudioLab,https://www.etsy.com/shop/GameAudioLab,4.5,5300,https://i.etsystatic.com/headphones6.jpg,"[{""label"": ""Mic"", ""values"": [""Detachable"", ""Fixed""]}]","Gaming,Surround Sound,LED Lights","[{""name"": ""Gaming Headphones"", ""link"": ""https://www.etsy.com/market/gaming_headphones""}]"
https://www.etsy.com/listing/1000013/travel-wireless-earpods,Travel Friendly Wireless Earpods,Earpods,134,$52.00,720,"May 18, 2023",TravelTone,https://www.etsy.com/shop/TravelTone,4.6,2200,https://i.etsystatic.com/earpods7.jpg,"[{""label"": ""Color"", ""values"": [""Silver"", ""Black""]}]","Travel Size,Wireless,Noise Isolation","[{""name"": ""Travel Earbuds"", ""link"": ""https://www.etsy.com/market/travel_earbuds""}]"
https://www.etsy.com/listing/1000014/vintage-wireless-headphones,Vintage Retro Wireless Headphones,Headphones,287,$145.00,1320,"Jul 02, 2023",RetroWave,https://www.etsy.com/shop/RetroWave,4.7,4100,https://i.etsystatic.com/headphones7.jpg,"[{""label"": ""Finish"", ""values"": [""Brown"", ""Black""]}]","Vintage,Wireless,High Fidelity","[{""name"": ""Vintage Headphones"", ""link"": ""https://www.etsy.com/market/vintage_headphones""}]"
https://www.etsy.com/listing/1000015/mini-earbuds,Miniature Compact Earbuds,Earpods,105,$42.00,430,"Mar 11, 2024",TinySound,https://www.etsy.com/shop/TinySound,4.2,1700,https://i.etsystatic.com/earpods8.jpg,"[{""label"": ""Color"", ""values"": [""White"", ""Pink"", ""Black""]}]","Mini,Portable,Wireless","[{""name"": ""Mini Earbuds"", ""link"": ""https://www.etsy.com/market/mini_earbuds""}]"
https://www.etsy.com/listing/1000016/high-fidelity-headphones,High Fidelity Over-Ear Headphones,Headphones,398,$199.00,2150,"Jun 17, 2023",HiFiLab,https://www.etsy.com/shop/HiFiLab,4.8,6100,https://i.etsystatic.com/headphones8.jpg,"[{""label"": ""Color"", ""values"": [""Black"", ""Brown""]}]","Hi-Fi,Over-Ear,Premium Build","[{""name"": ""HiFi Headphones"", ""link"": ""https://www.etsy.com/market/hifi_headphones""}]"
https://www.etsy.com/listing/1000017/sport-pro-earpods,Sport Pro Wireless Earbuds,Earpods,198,$59.99,1020,"Aug 04, 2023",ProFitSound,https://www.etsy.com/shop/ProFitSound,4.6,2800,https://i.etsystatic.com/earpods9.jpg,"[{""label"": ""Color"", ""values"": [""Red"", ""Blue"", ""Black""]}]","Sports,Wireless,Sweatproof","[{""name"": ""Pro Earbuds"", ""link"": ""https://www.etsy.com/market/pro_earbuds""}]"
https://www.etsy.com/listing/1000018/studio-wireless-headphones,Studio Wireless Over-Ear Headphones,Headphones,,,,,StudioWave,https://www.etsy.com/shop/StudioWave,4.5,5400,https://i.etsystatic.com/headphones9.jpg,[],,[]
